UAL;Age;Injection;Hydrolysis;Station;specimen_no;depth (cm);max. depth (cm);5 cm group (cm);taxon;Outlier;Contamination;Replicate;ageMedian;ageYng;ageOld;Asp_DL;Glu_DL;DL_Ser;DL_Ala;DL_Val;DL_Phe;DL_Ile;DL_Leu;L-Ser/     L-Asp;[Asp];[Glu];[Ser];[Ala];[Val];[Phe];[Ile];[Leu];[total];L Asp;D Asp;L Glu;D Glu;L Ser;D Ser;Gly;L Ala;L hArg;D Ala;L Val;D Val;L Phe;L Ile;D Phe;L Leu;D aIle;D Leu;Valve
11896;46;2ul10;6;Pan M28;Pan M28-10-12-007;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.080;0.028;0.084;0.039;0.008;0.048;0.009;0.025;0.4;2173;1226;978;987;847;313;383;491;7399;9719;774;5758;162;4355;366;7509;4587;966;179;4056;34;1441;1834;70;2312;16;57;right
11897;112;2ul10;6;Pan M28;Pan M28-10-12-008;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.101;0.030;0.106;0.050;0.008;0.018;0.021;0.008;0.4;2675;1539;1049;937;671;241;283;409;7804;2754;277;1694;50;1075;114;1383;1011;227;51;755;6;268;314;5;460;7;4;right
11898;209;2ul10;6;Pan M28;Pan M28-10-12-009;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.121;0.033;0.148;0.046;0.011;0.075;0.007;0.024;0.4;4048;2245;1693;1625;1463;436;577;776;12863;18199;2198;10953;361;7432;1101;11549;7828;1008;360;7288;84;2043;2887;154;3818;19;91;right
11899;35;2ul10;6;Pan M28;Pan M28-10-12-010;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.075;0.024;0.074;0.032;0.008;0.017;0.011;0.009;0.5;3014;1781;1370;1362;1455;396;691;671;10742;3349;250;2076;50;1524;112;3947;1576;239;51;1723;15;465;817;8;794;9;7;right
11900;37;2ul10;6;Pan M28;Pan M28-10-12-011;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.076;0.025;0.065;0.044;0.008;0.021;0.016;0.018;0.4;6001;3210;2584;2376;2409;839;1331;1455;20204;6774;517;3804;97;2948;191;6768;2766;243;121;2902;25;998;1593;21;1736;25;32;right
11901;28;2ul10;6;Pan M28;Pan M28-10-12-012;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.071;0.027;0.069;0.046;0.008;0.021;0.008;0.013;0.5;3488;1874;1639;1723;2085;505;955;909;13178;3472;248;1946;52;1635;113;5409;1757;213;81;2206;18;527;1011;11;957;8;13;right
11902;44;2ul10;6;Pan M28;Pan M28-10-12-013;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.079;0.026;0.077;0.043;0.010;0.016;0.011;0.009;0.4;4068;1961;1583;1556;1736;414;748;823;12888;4703;374;2385;62;1835;141;4676;1862;250;81;2146;21;508;923;8;1017;10;10;right
11903;22;2ul10;6;Pan M28;Pan M28-10-12-014;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.067;0.026;0.076;0.033;0.008;0.014;0.008;0.003;0.4;1881;825;683;672;891;199;366;391;5908;2854;192;1302;34;1028;78;3235;1053;324;35;1433;11;318;588;4;631;5;2;right
11904;64;2ul10;6;Pan M28;Pan M28-10-12-015;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.087;0.026;0.070;0.038;0.009;0.036;0.012;0.034;0.4;3905;1983;1655;1628;1658;542;831;951;13153;17731;1535;9538;244;7628;537;19192;7738;987;296;8106;74;2582;4048;94;4538;49;154;right
11905;30;2ul10;6;Pan M28;Pan M28-10-12-016;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.072;0.024;0.073;0.038;0.009;0.043;0.007;0.029;0.4;3803;1972;1630;1595;2024;534;861;915;13333;17520;1268;9517;225;7505;548;20636;7590;988;289;9910;91;2530;4223;109;4393;30;127;right
